,character name,Appearances,Minor Appearances,Mentions,Total Appearances (Full and Minor),Appearances and Mentions (Full + Minor + Mentions)
1496,Alysande Stuart (Earth-2122),2,0,0,2,2
133,Neutron (Imperial Guard),2,2,0,4,4
1147,Emma la Porte,2,0,0,2,2
669,Eye Killers,2,0,0,2,2
1489,Moira MacTaggert (Earth-2122),2,0,0,2,2
1492,Archangel (Earth-2122),2,0,0,2,2
1138,Ophrah Industries,2,0,0,2,2
1494,Weird Happenings Organization (Earth-2122),2,0,0,2,2
1133,Tamara Kurtz,2,0,0,2,2
1495,Alistaire Stuart (Earth-2122),2,0,0,2,2
1498,Dai Thomas (Earth-2122),2,0,0,2,2
1234,Arishem,2,0,0,2,2
1106,Toothgrinder,2,0,0,2,2
1105,Toothgnasher,2,0,0,2,2
1104,Ula,2,0,0,2,2
1499,Hellfire Club (Earth-2122),2,0,0,2,2
1100,Harokin,2,0,0,2,2
1099,Skurge,2,0,0,2,2
165,Tongah,2,0,0,2,2
166,Seesha,2,0,0,2,2
1094,Buri,2,0,2,2,4
1150,Carl Maddicks,2,0,0,2,2
1488,Charles Xavier (Earth-2122),2,0,0,2,2
130,Mentor (Imperial Guard),2,1,0,3,3
1156,Michael Nowlan,2,0,0,2,2
1482,X-Men (Earth-2122),2,0,0,2,2
91,Eamon O'Donnell,2,0,0,2,2
95,David Munroe,2,1,1,3,4
96,Achmed El Gibár,2,0,2,2,4
106,Angus MacWhirter,2,3,0,5,5
113,K'rk 'N'Kazaii,2,0,0,2,2
115,Galan,2,0,10,2,12
1200,Ophelia Jones,2,0,0,2,2
1199,Phumm,2,0,0,2,2
1198,Phough,2,0,0,2,2
1197,Phee,2,0,0,2,2
1483,Bran Braddock (Earth-2122),2,0,0,2,2
1196,Phay,2,0,0,2,2
1195,Phy,2,0,0,2,2
1194,Troll Associates,2,0,0,2,2
1193,Thomas Jones,2,0,0,2,2
1189,Lost Boys (And Girls),2,0,0,2,2
1484,Jean Grey (Earth-2122),2,0,0,2,2
1159,Susan Nowlan,2,0,0,2,2
677,Los Angeles Police Department,2,0,2,2,4
442,Clan Yashida,2,0,3,2,5
403,Daniel Shomron,2,0,2,2,4
346,Death,2,4,2,6,8
350,Federal Bureau of Investigation,2,0,3,2,5
504,Rogue (Anna Marie) (Earth-8591),2,0,0,2,2
503,Ororo Munroe (Earth-8591),2,0,0,2,2
428,Philip Summers,2,0,2,2,4
554,Tomas Rodriguez,2,0,0,2,2
604,Loki Laufeyson,2,1,2,3,5
345,Doom Squad,2,0,0,2,2
459,Roberta,2,0,0,2,2
344,D'Spayre,2,0,0,2,2
522,Amara Aquilla (Earth-8591),2,0,0,2,2
662,Diane Duane,2,0,0,2,2
427,Deborah Summers,2,0,2,2,4
502,Kurt Wagner (Earth-8591),2,0,0,2,2
404,National Socialist German Workers Party,2,1,9,3,12
505,Callisto (Earth-8591),2,0,0,2,2
506,Selene Gallio (Earth-8591),2,0,0,2,2
507,Rachel Summers (Earth-8591),2,0,0,2,2
378,N'Rill'Iree,2,0,0,2,2
508,Illyana Rasputina (Earth-8591),2,0,0,2,2
509,Peter Parker (Earth-8591),2,0,0,2,2
510,Warlock (Technarch) (Earth-8591),2,0,0,2,2
511,Vizier's Guard (Earth-8591),2,0,0,2,2
512,Morlocks (Earth-8591),2,0,0,2,2
513,Mark Hallett (Earth-8591),2,0,0,2,2
521,Caliban (Earth-8591),2,0,0,2,2
520,Charles Xavier (Earth-8591),2,0,0,2,2
514,New Mutants (Earth-8591),2,0,0,2,2
515,Rahne Sinclair (Earth-8591),2,0,0,2,2
516,Danielle Moonstar (Earth-8591),2,0,0,2,2
517,Roberto Da Costa (Earth-8591),2,0,0,2,2
518,Samuel Guthrie (Earth-8591),2,0,0,2,2
527,Stephen Strange (Earth-8591),2,0,0,2,2
663,Priscilla Morrison,2,0,0,2,2
382,Haeg'Rill,2,0,0,2,2
497,Avengers (Earth-8591),2,0,0,2,2
449,X-Men (Arcade's Robots),2,0,0,2,2
569,Annalee,2,0,0,2,2
479,Nicholas Damiano,2,0,0,2,2
618,Judith Rassendyll,2,0,0,2,2
450,Wolverine (Arcade's Robot),2,0,0,2,2
391,Kam'N'Ehar,2,0,0,2,2
393,Defense Advanced Research Projects Agency,2,0,1,2,3
452,Storm (Arcade's Robot),2,0,0,2,2
453,Rogue (Arcade's Robot),2,0,0,2,2
455,Colossus (Arcade's Robot),2,0,0,2,2
519,Kulan Gath (Impostor) (Earth-8591),2,0,1,2,3
501,Piotr Rasputin (Earth-8591),2,0,0,2,2
500,Eros (Earth-8591),2,0,0,2,2
498,Steven Rogers (Earth-8591),2,0,0,2,2
499,Janet Van Dyne (Earth-8591),2,0,0,2,2
1256,Liz Barnes,1,0,0,1,1
523,United States Navy,1,0,0,1,1
1230,Mohawk (Children of Heaven),1,0,0,1,1
1231,Phillip (Children of Heaven),1,0,0,1,1
1232,Hargen,1,0,0,1,1
82,Robert Chalmers,1,0,0,1,1
1264,Die'ode,1,0,0,1,1
86,Lorna Dane (X-Sentinel),1,0,0,1,1
1235,Boomer (Reject),1,0,0,1,1
525,Wanda Maximoff (Earth-8591),1,1,0,2,2
1260,Sam Mellon,1,0,0,1,1
524,Vision (Earth-8591),1,1,0,2,2
1253,Ruby (Ravens),1,0,0,1,1
1257,George Jones,1,0,0,1,1
1236,Wilson Fisk,1,0,1,1,2
1259,Marty Smith,1,0,0,1,1
1237,Roderick Kingsley,1,0,0,1,1
1258,Roderick Campbell (Earth-811),1,0,1,1,2
1238,Johann Shmidt,1,0,0,1,1
1248,Azure,1,0,0,1,1
1240,One Above All (Celestial),1,0,0,1,1
528,Arilynn Williams (Earth-8591),1,0,0,1,1
85,Alexander Summers (X-Sentinel),1,0,0,1,1
84,Gerald Michael Rivera,1,0,0,1,1
83,Roger Grimsby,1,0,0,1,1
1245,Frederik Spense,1,0,0,1,1
1255,Charlie Grant,1,0,0,1,1
1239,Madcap,1,0,0,1,1
670,Akira,1,0,0,1,1
1265,Fu'se,1,0,0,1,1
1266,Katsu'ta'ro,1,0,0,1,1
68,Matthew Murdock,1,0,2,1,3
495,United States Navy (Earth-811),1,0,0,1,1
1314,Ducks (Warwolf),1,0,0,1,1
1315,Criminal Investigation Department,1,0,0,1,1
1316,Rupert Holloway,1,0,1,1,2
1317,Wally Wuggens,1,0,0,1,1
1318,British Army,1,1,0,2,2
1320,Shadowcompsognathus (Earth-99476),1,0,0,1,1
1321,Lockheed (Earth-99476),1,0,0,1,1
1322,Opal Luna Saturnyne (Earth-9),1,1,2,2,4
412,Daily Bugle (The DB!),1,0,0,1,1
62,Paty Cockrum,1,0,0,1,1
1327,Miss Octavia,1,0,0,1,1
1328,Barbara McAllister,1,0,0,1,1
1329,Otto Octavius,1,0,0,1,1
413,Dzílòs,1,0,0,1,1
414,Komitet Gosudarstvennoy Bezopasnosti,1,0,3,1,4
1304,Zz'ria (Earth-148),1,0,0,1,1
1303,Brion Burdack (Earth-148),1,0,0,1,1
1302,Ai'sha (Earth-148),1,0,0,1,1
1289,Triton,1,0,0,1,1
1272,Ko'ichi,1,0,0,1,1
1273,Toshi,1,0,0,1,1
1278,Psynapse,1,0,1,1,2
1281,Rick Carmichael,1,0,0,1,1
1283,Sersi,1,0,0,1,1
1228,Slimeball (Children of Heaven),1,0,0,1,1
1288,Lockjaw,1,0,0,1,1
1290,Shinobi Shaw,1,0,0,1,1
1300,Jacko Petrie,1,0,0,1,1
1291,Boak (Earth-4935),1,0,0,1,1
1292,Clan Askani (Earth-4935),1,0,0,1,1
1293,Medusalith Amaquelin,1,0,1,1,2
73,Sentinel L-1,1,0,0,1,1
72,Mikhail Kutuzov,1,0,0,1,1
71,Project Starcore,1,0,2,1,3
1299,Ray Mulholland,1,0,0,1,1
1229,Buzzsaw (Children of Heaven),1,0,0,1,1
1211,Spak,1,0,0,1,1
1227,Voodoo (Donny),1,0,0,1,1
1128,Sebastian (Skrull),1,0,0,1,1
1130,Rekxor,1,0,0,1,1
1131,Gragnon,1,0,0,1,1
146,T'Challa,1,0,0,1,1
559,Mick Travis,1,0,0,1,1
144,Henry Pym,1,0,0,1,1
399,Kurt Wagner (Earth-8280),1,2,1,3,4
142,Modt,1,0,0,1,1
138,Scintilla,1,1,0,2,2
671,Jiro (Japanese),1,0,0,1,1
401,Piotr Rasputin (Earth-8280),1,3,0,4,4
1145,Adam (Gideon),1,0,0,1,1
555,Luis Rodriguez,1,0,0,1,1
1148,Jack Fisher,1,0,0,1,1
552,Hounds (Earth-811),1,0,5,1,6
1151,David Thompson,1,0,0,1,1
1152,Secret Empire,1,0,0,1,1
1155,Martin Davis,1,0,0,1,1
129,Magique,1,0,0,1,1
128,Impulse,1,0,0,1,1
1160,Joe Simsky,1,0,0,1,1
1161,Zeek,1,0,0,1,1
1129,Horio,1,0,0,1,1
1127,Skrull Slavers,1,0,0,1,1
1226,Beth (Children of Heaven),1,0,0,1,1
397,Belasco,1,3,18,4,22
168,Barok,1,0,0,1,1
389,Trypthe,1,0,0,1,1
390,Blackthorn,1,0,0,1,1
568,Margaret Craig,1,0,0,1,1
567,James Power,1,0,0,1,1
1102,Robert Hunter,1,1,2,2,4
1103,Grand Vizier (Asgard),1,0,1,1,2
394,Harmony Young,1,0,0,1,1
1108,Shrannk,1,0,0,1,1
1109,Phineas Mason,1,0,0,1,1
162,John Cheever,1,2,0,3,3
161,Jorge Perez,1,0,0,1,1
395,Vlad Dracula,1,0,1,1,2
158,Daniel Rand,1,0,2,1,3
157,Colosso,1,0,0,1,1
156,Mitchell Tanner,1,0,0,1,1
155,Captain Delaney,1,0,0,1,1
153,Gary Cody,1,0,0,1,1
1123,Samson (Morlock),1,0,0,1,1
150,Katherine Summers,1,5,3,6,9
396,Ororo Munroe (Earth-8280),1,1,1,2,3
127,Hobgoblin (Imperial Guard),1,1,0,2,2
1163,Tunnelers,1,0,0,1,1
1164,Blow-Hard,1,0,0,1,1
1165,Scaleface,1,0,0,1,1
1190,Speedfreak,1,0,0,1,1
1191,Big Top,1,0,0,1,1
1192,Monitor,1,0,0,1,1
407,Hydra,1,0,2,1,3
409,Rudolf Kranz,1,0,0,1,1
410,Tsahal,1,0,0,1,1
1201,Ellie Jones,1,0,0,1,1
536,Arilynn Williams,1,0,0,1,1
114,S'lar,1,0,0,1,1
111,Shi'ar Imperial Intelligence,1,0,0,1,1
1207,Jak,1,0,0,1,1
1208,Swen,1,0,0,1,1
58,Stan Lee,1,0,0,1,1
99,Kelson (Leprechaun),1,0,0,1,1
98,Padraic (Leprechaun),1,0,0,1,1
97,Donal O'Bradaigh,1,0,0,1,1
1221,Larrs,1,0,0,1,1
1222,Wrakk,1,0,0,1,1
1223,Children of Heaven,1,0,0,1,1
1224,Michael (Children of Heaven),1,0,0,1,1
1225,Blowhard (Greg),1,0,0,1,1
546,Angelica Jones,1,0,1,1,2
1188,Karen Blake,1,0,0,1,1
1187,Tammy Blake,1,0,0,1,1
1175,Ariel (Coconut Grove),1,0,0,1,1
1166,Ray Carter,1,0,0,1,1
1167,Savage Wolf Gang,1,0,0,1,1
547,SecBots,1,0,0,1,1
1169,Fallen Angels,1,0,0,1,1
125,Electron (Imperial Guard),1,2,0,3,3
1171,Andrew Blanding,1,0,0,1,1
1172,Joanna Blanding,1,0,0,1,1
1173,Franklin Richards,1,1,1,2,3
124,Astra (Imperial Guard),1,2,0,3,3
121,Soul-Drinker,1,1,0,2,2
1186,Sheila Blake,1,0,0,1,1
118,Charles Xavier (Entity),1,0,0,1,1
1178,Zano (Xartan),1,0,0,1,1
1179,Avengers (Xartans),1,0,0,1,1
1180,Black Knight (Xartan),1,0,0,1,1
1181,She-Hulk (Xartan),1,0,0,1,1
1182,Doctor Druid (Xartan),1,0,0,1,1
1183,Thor (Xartan),1,0,0,1,1
1184,Anthony Druid,1,0,0,1,1
1185,Ed Koch,1,0,0,1,1
59,Jack Kirby,1,0,0,1,1
57,Sentinel T-20,1,0,0,1,1
415,T'Crilēē,1,0,0,1,1
1520,Cassandra Bull (Earth-23238),1,0,0,1,1
1510,Hellfire Club (Earth-811),1,0,0,1,1
1511,Emma Frost (Earth-811),1,0,0,1,1
1512,Sebastian Shaw (Earth-811),1,0,0,1,1
1513,Selene Gallio (Earth-811),1,0,0,1,1
1514,Amahl Farouk (Earth-811),1,0,0,1,1
1515,Katherine Pryde (Earth-23238),1,0,0,1,1
1516,Brian Braddock (Earth-23238),1,0,0,1,1
1517,Elizabeth Braddock (Earth-23238),1,0,0,1,1
1518,Illyana Rasputina (Earth-23238),1,0,0,1,1
1519,Justicers (Earth-23238),1,0,0,1,1
1521,Cadbury (Earth-23238),1,0,0,1,1
1534,Immigration Inspector (Earth-522),1,0,0,1,1
1522,Douglas Ramsey (Earth-23238),1,0,0,1,1
1523,Davey Banner (Earth-23238),1,0,0,1,1
1524,Meggan Puceanu (Earth-23238),1,0,0,1,1
1525,Peter Parker (Earth-23238),1,0,0,1,1
1526,Brundle (Earth-23238),1,0,0,1,1
1527,Sid (Earth-23238),1,0,0,1,1
1528,Sybil Sherman (Earth-9006),1,0,0,1,1
1529,Thracius Magnus (Earth-4100),1,0,0,1,1
1530,Rene de Bragelonne (Earth-1508),1,0,0,1,1
1531,Morwen Powell (Earth-1282),1,0,0,1,1
1509,Courtney Ross (Earth-2122),1,0,0,1,1
1508,Nathan Summers (Earth-2122),1,0,0,1,1
1504,Sons of Liberty (Earth-2122),1,0,0,1,1
1503,Selene Gallio (Earth-2122),1,0,0,1,1
1467,Jean Grey (Earth-1289),1,0,0,1,1
1468,Captains of the Clouds (Earth-1289),1,0,0,1,1
1469,Hounds (Earth-1289),1,0,0,1,1
1470,Nigel Frobisher (Earth-1289),1,0,0,1,1
420,Prophet-Singer,1,0,0,1,1
426,Susan Storm,1,1,2,2,4
1481,Ard-Con,1,0,0,1,1
470,Paul Garwood,1,0,1,1,2
1485,Rahne Sinclair (Earth-2122),1,0,0,1,1
1486,Samuel Guthrie (Earth-2122),1,0,0,1,1
1487,Sean Cassidy (Earth-2122),1,0,0,1,1
468,Japan Ground Self-Defense Force,1,0,0,1,1
1490,Henry McCoy (Earth-2122),1,0,0,1,1
1491,Rogue (Anna Marie) (Earth-2122),1,0,0,1,1
464,Puff,1,1,1,2,3
1497,Metropolitan Police Service (Earth-2122),1,0,0,1,1
463,Amiko Kobayashi,1,0,1,1,2
462,Rusher Street Rebels,1,0,0,1,1
1500,Jason Wyngarde (Earth-2122),1,0,0,1,1
461,Jo (Morlock),1,0,0,1,1
1502,Emma Frost (Earth-2122),1,0,0,1,1
1532,Kozfran (Earth-9246),1,0,0,1,1
1535,Master Archivist (Earth-522),1,0,0,1,1
1465,High Priest (Earth-1289),1,0,0,1,1
1590,Jeremy Clarke,1,0,1,1,2
1576,Silvija Sablinova,1,0,0,1,1
1577,William Baker,1,0,0,1,1
1578,Hobart Brown,1,0,0,1,1
1579,Paladin,1,0,0,1,1
1580,Robert Farrell,1,0,0,1,1
1581,Arnim Zola,1,0,0,1,1
29,Joe Harris,1,0,0,1,1
1586,Ferro (Earth-TRN299),1,0,0,1,1
1587,Phineous Umbridge,1,0,0,1,1
456,Cyclops (Arcade's Robot),1,0,0,1,1
454,Nightcrawler (Arcade's Robot),1,0,0,1,1
1536,Avant Guard (Earth-9),1,0,0,1,1
1601,Six Pack,1,0,3,1,4
451,Kitty Pryde (Arcade's Robot),1,0,0,1,1
1604,Eisenhower Canty,1,0,1,1,2
1606,Garbha-Hsien,1,0,0,1,1
1607,Nicodemus (Mutant),1,0,0,1,1
1608,Burke,1,0,0,1,1
1609,Absalom,1,0,0,1,1
437,"Joseph Danvers, Sr.",1,0,0,1,1
447,Frank Lowell,1,0,0,1,1
438,Mari-Ell,1,0,0,1,1
1575,Wild Pack,1,0,0,1,1
1573,Gunther Gyles,1,0,0,1,1
1572,Amy Keats,1,0,0,1,1
1571,Karen Fink,1,0,0,1,1
1537,Excalibur (Earth-Unknown),1,0,0,1,1
1538,Meggan Puceanu (Earth-Unknown),1,0,0,1,1
1539,Brian Braddock (Earth-Unknown),1,0,0,1,1
1540,Kurt Wagner (Earth-Unknown),1,0,0,1,1
1541,Katherine Pryde (Earth-Unknown),1,0,0,1,1
1542,John Doe (Earth-8908),1,0,0,1,1
1543,Vavara Novikova (Earth-8908),1,0,0,1,1
1544,Alfie O'Meagan (Earth-8908),1,0,0,1,1
1545,Candy Goodstroke (Earth-8908),1,0,0,1,1
1547,Brendan O'Reilly,1,0,0,1,1
1548,Cooter,1,0,0,1,1
1549,Vincent Gardner,1,0,0,1,1
1550,Alexander Power (Pseudoplasm),1,0,0,1,1
1551,Nightmare,1,0,1,1,2
1552,Infant Terrible,1,0,0,1,1
1553,James Power (Pseudoplasm),1,0,0,1,1
1555,Smartship Friday,1,0,0,1,1
1556,Rintrah,1,0,0,1,1
1557,Vega-Men,1,0,0,1,1
1558,Vega-Superior,1,0,0,1,1
1570,Amy Fink,1,0,0,1,1
1466,Pica (Earth-1289),1,0,0,1,1
1457,Meggan Puceanu (Earth-1189),1,0,0,1,1
1335,Wilbur Griswald,1,0,0,1,1
1386,Karnak Mander-Azur (Earth-8910),1,0,0,1,1
1374,Richard Jones (Earth-8910),1,0,0,1,1
1375,Galan (Earth-8910),1,0,0,1,1
1376,Impossible Man (Earth-8910),1,0,0,1,1
1377,Dane Whitman (Earth-1193),1,0,0,1,1
1378,Thor Odinson (Earth-1193),1,0,0,1,1
1379,Crown King (Earth-1193),1,0,0,1,1
1380,Nigel Frobisher (Earth-1193),1,0,0,1,1
1383,Henry Pym (Earth-8910),1,0,0,1,1
1384,Namor McKenzie (Earth-8910),1,0,0,1,1
1385,Ulysses Klaw (Earth-8910),1,0,0,1,1
1387,Blackagar Boltagon (Earth-8910),1,0,0,1,1
1400,Loki Laufeyson (Earth-8910),1,0,0,1,1
1388,Nathaniel Richards (Kang) (Earth-8910),1,0,0,1,1
1389,Zheng Shang-Chi (Earth-8910),1,0,0,1,1
1390,Victor von Doom (Earth-8910),1,0,0,1,1
1391,Steven Rogers (Earth-8910),1,0,0,1,1
1392,Peter Parker (Earth-8910),1,0,0,1,1
1393,Norman Osborn (Earth-8910),1,0,0,1,1
1394,Ronan (Earth-8910),1,0,0,1,1
1395,Psycho-Man (Earth-8910),1,0,0,1,1
1396,Bentley Wittman (Earth-8910),1,0,0,1,1
1397,Roberta (Earth-8910),1,0,0,1,1
1373,Joshua N'Dingi,1,1,0,2,2
481,Phillip Rosen,1,0,0,1,1
482,Hellhounds (Dire Wraiths),1,0,0,1,1
483,Joe Huntley,1,0,0,1,1
1336,Martha Griswald,1,0,0,1,1
1337,Calvin Griswald,1,0,0,1,1
1338,Susie Griswald,1,0,0,1,1
1339,Color Sergeant Vaughn,1,0,0,1,1
388,Sp'yxx,1,0,0,1,1
56,Sentinel A7,1,0,0,1,1
55,Sentinel A3,1,0,0,1,1
54,Sentinel A1,1,0,0,1,1
1347,Color Sergeant Vaughn (Earth-99476),1,0,0,1,1
488,Illyana Rasputina (Earth-811),1,0,0,1,1
1352,Excalibur (Earth-8919),1,0,0,1,1
1353,Katherine Pryde (Earth-8919),1,0,0,1,1
1354,Meggan Puceanu (Earth-8919),1,0,0,1,1
1355,Brian Braddock (Earth-8919),1,0,0,1,1
1356,Kurt Wagner (Earth-8919),1,0,0,1,1
40,Kierrok,1,0,0,1,1
38,Bruce Banner,1,2,10,3,13
35,Maggia,1,0,2,1,3
487,Jimaine Szardos (Earth-811),1,0,0,1,1
486,Jean Grey (Earth-811),1,0,6,1,7
1366,Goliath (Horse) (Earth-1193),1,0,0,1,1
1399,Vision (Earth-8910),1,0,0,1,1
1401,Anthony Stark (Earth-8910),1,0,0,1,1
1454,Frankenstein's Monster (Earth-8926),1,0,0,1,1
1440,Scott Summers (Earth-8910),1,0,0,1,1
1430,Dormammu (Earth-8910),1,0,0,1,1
1431,Uatu (Earth-8910),1,0,0,1,1
1432,Blastaar (Earth-8910),1,0,0,1,1
1433,Fantastic Four (Earth-8910),1,0,0,1,1
1434,Reed Richards (Earth-8910),1,0,0,1,1
1435,Jonathan Storm (Earth-8910),1,0,0,1,1
1436,Benjamin Grimm (Earth-8910),1,0,0,1,1
1437,Susan Storm (Earth-8910),1,0,0,1,1
1438,X-Men (Earth-8910),1,0,0,1,1
1439,Ororo Munroe (Earth-8910),1,0,0,1,1
1441,Robert Drake (Earth-8910),1,0,0,1,1
1402,Wanda Maximoff (Earth-8910),1,0,0,1,1
1442,Rogue (Anna Marie) (Earth-8910),1,0,0,1,1
1443,Alexander Summers (Earth-8910),1,0,0,1,1
1444,Max Eisenhardt (Earth-8910),1,0,0,1,1
1445,Janet Van Dyne (Earth-8910),1,0,0,1,1
1446,Cain Marko (Earth-8910),1,0,0,1,1
1447,Klaus Voorhees (Earth-8910),1,0,0,1,1
1448,Gorgon Petragon (Earth-8910),1,0,0,1,1
1449,Kura,1,0,0,1,1
1452,Alysande Stuart (Earth-8926),1,0,0,1,1
1453,Alistaire Stuart (Earth-8926),1,0,0,1,1
1429,Advanced Idea Mechanics (Earth-8910),1,0,0,1,1
1428,Annihilus (Earth-8910),1,0,0,1,1
1427,Norrin Radd (Earth-8910),1,0,0,1,1
1426,Jennifer Walters (Earth-8910),1,0,0,1,1
1403,Pietro Maximoff (Earth-8910),1,0,0,1,1
1404,Bruce Banner (Earth-8910),1,0,0,1,1
1406,Thor Odinson (Earth-8910),1,0,0,1,1
1407,George Tarleton (Earth-8910),1,0,0,1,1
1408,Damage Co-Ordination (Earth-8910),1,0,0,1,1
1409,Quentin Beck (Earth-8910),1,0,0,1,1
1410,Owen Reece (Earth-8910),1,0,0,1,1
1411,Amora (Earth-8910),1,0,0,1,1
1412,Taneleer Tivan (Earth-8910),1,0,0,1,1
1413,Chris Claremont (Earth-8910),1,0,0,1,1
1414,John Byrne (Earth-8910),1,0,0,1,1
1416,Clinton Barton (Earth-8910),1,0,0,1,1
1417,Bullseye (Lester) (Earth-8910),1,0,0,1,1
1418,Mar-Vell (Earth-8910),1,0,0,1,1
1419,John Falsworth (Earth-8910),1,0,0,1,1
1420,Adam Warlock (Earth-8910),1,0,0,1,1
1421,Medusalith Amaquelin (Earth-8910),1,0,0,1,1
1422,Matthew Murdock (Earth-8910),1,0,0,1,1
1423,Stephen Strange (Earth-8910),1,0,0,1,1
1424,James Howlett (Earth-8910),1,0,0,1,1
1425,Emma Frost (Earth-8910),1,0,0,1,1
169,Fahe,1,0,0,1,1
400,James Howlett (Earth-8280),1,0,2,1,3
173,Kirk Marston,1,0,0,1,1
944,Samuel Guthrie (Earth-8510),1,0,1,1,2
261,Bel-Dann,1,0,0,1,1
260,Raksor,1,0,0,1,1
370,Windrider (Earth-5311),1,0,0,1,1
832,Ivan Petrovich Bezukhov,1,0,0,1,1
833,Natalia Romanova,1,0,0,1,1
834,Seraph,1,0,0,1,1
835,Jonin (WWII),1,0,0,1,1
836,Kreutzmann,1,0,0,1,1
837,Schutzstaffel,1,0,0,1,1
838,Death's Head Squadron (Nazi),1,0,0,1,1
839,Geoffrey Sydenham,1,0,0,1,1
843,Soong,1,0,0,1,1
371,Xavier (Earth-5311),1,0,0,1,1
257,Manta,1,0,0,1,1
628,David Ishima,1,0,0,1,1
627,Ann Randall,1,0,0,1,1
372,Jean Grey (Earth-5311),1,0,0,1,1
850,Suzanne Gaffney,1,0,0,1,1
851,Frank Castle,1,0,0,1,1
827,Katherine Pryde (Masque's Doppelganger),1,0,0,1,1
826,New Mutants (Masque),1,0,0,1,1
825,X-Men (Masque),1,0,0,1,1
367,Mean (Earth-5311),1,0,0,1,1
265,R'Klll,1,0,0,1,1
364,Khalid bin Abdul Aziz,1,0,0,1,1
264,Supreme Intelligence,1,0,0,1,1
809,Gaea,1,0,0,1,1
810,Genoshan Foreign Minister,1,0,0,1,1
365,Piotr Rasputin (Earth-5311),1,0,0,1,1
812,Henry McCoy (Masque's Doppelganger),1,0,0,1,1
366,Katherine Pryde (Earth-5311),1,0,0,1,1
368,Lockheed (Earth-5311),1,0,0,1,1
263,Recorder 211,1,0,0,1,1
816,Piotr Rasputin (Masque's Doppelganger),1,0,0,1,1
817,Longshot (Masque's Doppelganger),1,0,0,1,1
633,Tommy (Morlock),1,1,0,2,2
819,Illyana Rasputina (Masque's Doppelganger),1,0,0,1,1
820,Warlock (Masque's Doppelganger),1,0,0,1,1
632,Richard Salmons,1,0,0,1,1
369,Scott Summers (Earth-5311),1,0,0,1,1
823,Governor Seward,1,0,0,1,1
253,Tuoks'enhaamin,1,0,0,1,1
853,Lucas Hamilton,1,0,0,1,1
625,Colin Lewis,1,0,0,1,1
215,Alexandra Rasputina,1,0,2,1,3
902,Jebediah Guthrie,1,0,1,1,2
903,Elizabeth Guthrie,1,0,1,1,2
904,Joelle Guthrie,1,0,1,1,2
905,Lewis Guthrie,1,0,1,1,2
906,Cissie Guthrie,1,0,1,1,2
220,Ferdie Duncan,1,1,0,2,2
219,Kyras Shakati,1,0,0,1,1
921,Harry Morrel,1,0,0,1,1
214,Hulk (Arcade Android),1,0,0,1,1
900,Joshua Guthrie,1,0,2,1,3
213,Magneto (Arcade Android),1,0,0,1,1
212,Len Wein,1,0,0,1,1
211,Glynis Oliver,1,0,0,1,1
608,Gendarmerie Nationale,1,0,0,1,1
939,Madripoor Police Force,1,0,0,1,1
940,Ashake (Egyptian),1,0,0,1,1
941,Hamarkis,1,0,0,1,1
942,Phix,1,0,0,1,1
901,Melody Guthrie,1,0,1,1,2
899,Paige Guthrie,1,0,1,1,2
624,United States Department of State,1,0,0,1,1
871,Leong Coy Manh,1,1,6,2,8
623,Max Reigner,1,0,0,1,1
248,Juber (Shi'ar),1,0,0,1,1
247,Eluke,1,0,0,1,1
246,Norrin Radd,1,0,2,1,3
239,"Warren Worthington, Jr.",1,0,1,1,2
622,Ruritanian National Guard,1,0,0,1,1
867,James Howlett (War Skrull),1,0,0,1,1
868,Jubilation Lee (War Skrull),1,0,0,1,1
236,Frost International,1,0,0,1,1
611,Russian Navy,1,0,0,1,1
877,John Ogilvie,1,0,0,1,1
881,Peter Bristow,1,0,1,1,2
373,Roak (Earth-5311),1,0,0,1,1
222,Jennie Banks,1,1,0,2,2
614,Don Regan,1,0,0,1,1
893,Advanced Idea Mechanics,1,0,2,1,3
221,Joseph MacTaggert,1,2,3,3,6
612,Gregori Suvorov,1,0,0,1,1
805,Louis Joubert,1,0,0,1,1
804,Andrei Rostov (Piston),1,0,0,1,1
803,Bobbi Chase,1,0,0,1,1
323,Vision (Earth-811),1,0,0,1,1
328,Jonathan Storm (Earth-811),1,0,0,1,1
327,Victor von Doom (Earth-811),1,0,0,1,1
326,Peter Parker (Earth-811),1,0,0,1,1
325,Anthony Stark (Earth-811),1,0,0,1,1
324,Benjamin Grimm (Earth-811),1,0,0,1,1
666,Fran Morrow,1,1,0,2,2
665,Lethbridge-Stewart,1,0,0,1,1
704,Michael Jackson,1,0,1,1,2
321,Warren Worthington III (Earth-811),1,0,0,1,1
330,T'Challa (Earth-811),1,0,0,1,1
319,Robert Drake (Earth-811),1,0,0,1,1
317,Matthew Murdock (Earth-811),1,0,0,1,1
316,Wanda Maximoff (Earth-811),1,0,0,1,1
315,Henry McCoy (Earth-811),1,0,0,1,1
314,United States Senate,1,0,0,1,1
313,Big Alex (Earth-811),1,0,0,1,1
312,Rogue Pack (Earth-811),1,0,0,1,1
658,Tom Tibbidoe,1,0,0,1,1
329,Steven Rogers (Earth-811),1,0,0,1,1
331,Reed Richards (Earth-811),1,0,0,1,1
351,Colonel Hendershoot,1,0,0,1,1
341,Ellie Moore,1,0,0,1,1
672,Eiko,1,0,0,1,1
343,Jock Forrester,1,0,0,1,1
674,O.Z. Chase,1,0,0,1,1
