,character name,Appearances,Minor Appearances,Mentions,Total Appearances (Full and Minor),Appearances and Mentions (Full + Minor + Mentions)
231,Black Bishop (Harry Leland),10,2,3,12,15
768,Alysande Stuart,10,0,0,10,10
751,Orphan-Maker (Peter),10,0,0,10,10
1243,Opal Tanaka,10,0,0,10,10
338,Henry Gyrich,10,1,0,11,11
379,Deathbird,9,1,8,10,18
635,Arclight,9,2,0,11,11
381,Sikorsky,9,1,0,10,10
916,Jetstream,9,1,0,10,10
708,Jennifer Ransome,9,0,1,9,10
636,Harpoon,9,3,0,12,12
1053,Gosamyr,9,0,0,9,9
716,Wipeout,9,0,2,9,11
485,Adversary,9,0,3,9,12
87,S.H.I.E.L.D.,9,0,10,9,19
537,Nimrod (Earth-811),9,0,5,9,14
122,Imperial Guard,9,1,3,10,13
770,Jacob Reisz,9,1,2,10,12
1139,Gideon,9,1,0,10,10
1298,Metropolitan Police Service,9,0,0,9,9
1592,Garrison Kane,9,1,1,10,11
545,Roulette,9,1,0,10,10
1588,George Washington Bridge,9,0,1,9,10
682,Pretty Boy,9,0,0,9,9
1117,Stryfe (Nathan Summers),9,0,1,9,10
184,Colleen Wing,8,0,1,8,9
715,Phillip Moreau,8,1,0,9,9
1073,Eitri,8,0,0,8,8
958,Hela,8,1,2,9,11
445,National Security Council,8,0,0,8,8
917,Tarot,8,1,0,9,9
154,Araki,8,0,0,8,8
1140,Deadpool (Wade Wilson),8,0,1,8,9
915,Catseye,8,1,0,9,9
769,Lian Shen,8,1,0,9,9
237,Candy Southern,8,4,1,12,13
711,Pipeline,8,0,0,8,8
163,Sauron,8,3,1,11,12
244,Senator Robert Kelly,8,1,4,9,13
1124,Tyler Dayspring (Earth-4935),8,0,5,8,13
852,Emmanuel Da Costa,7,0,14,7,21
448,Project Wideawake,7,0,1,7,8
205,Spider-Man (Peter Parker),7,2,6,9,15
656,Mister Sinister (Nathaniel Essex),7,1,10,8,18
538,Magus (Warlock's Father),7,2,5,9,14
640,Vertigo (Savage Land Mutate),7,2,0,9,9
683,Skullbuster,7,0,0,7,7
440,Silver Samurai,7,0,1,7,8
1116,Forearm,7,0,0,7,7
1204,Seera,7,0,0,7,7
66,Nick Fury,7,5,3,12,15
1209,Rejects,7,0,0,7,7
1206,Lev,7,0,0,7,7
132,Sybil (Oracle),7,1,0,8,8
1076,Hrimhari,7,0,2,7,9
1110,Wildside,7,0,0,7,7
48,Shi'ar Imperial Fleet,7,0,1,7,8
1203,Chosen,7,0,0,7,7
1202,Gammenon the Gatherer,7,0,0,7,7
1112,Zero,7,1,0,8,8
15,Avengers,7,3,33,10,43
10,Sunfire (Shiro Yoshida),7,3,0,10,10
1149,Tower,7,0,0,7,7
556,Fenris,6,0,0,6,6
1132,Jun Tenta,6,0,0,6,6
172,Zala Dane,6,0,3,6,9
1218,Dykon,6,0,0,6,6
1216,Beginagains,6,0,0,6,6
402,Gabrielle Haller,6,1,0,7,7
572,Ape (Morlock),6,0,0,6,6
152,James Hudson,6,1,0,7,7
558,Andreas von Strucker,6,0,1,6,7
894,Nina Da Costa,6,0,7,6,13
561,Alexei Vazhin,6,0,1,6,7
639,Scrambler,6,2,0,8,8
50,D'ken Neramani,6,3,3,9,12
143,Captain America (Steve Rogers),6,2,2,8,10
141,Waldo (Computer),6,1,0,7,7
441,Ophelia Sarkissian,6,1,1,7,8
290,Vera Cantor,6,1,0,7,7
17,United States Army,6,0,0,6,6
1205,Rask,6,0,0,6,6
183,Daughters of the Dragon,6,0,0,6,6
