,source,target,weight
19130,Madelyne Pryor,Alice MacAllister,620
19131,Madelyne Pryor,John Greycrow,700
19132,Madelyne Pryor,Vertigo (Savage Land Mutate),400
19133,Madelyne Pryor,X-Factor,1540
19134,Madelyne Pryor,Elizabeth Braddock,2444
19135,Madelyne Pryor,Sharon Friedlander,0
19136,Madelyne Pryor,Thomas Corsi,0
19137,Madelyne Pryor,Victor Creed,520
19138,Madelyne Pryor,Nathaniel Essex,620
19139,Madelyne Pryor,Frank Bohannan,700
19140,Madelyne Pryor,Louis Hamilton,500
19141,Madelyne Pryor,Martin Fletcher,500
19142,Madelyne Pryor,Gateway,920
19143,Madelyne Pryor,Reavers,120
19144,Madelyne Pryor,Bonebreaker,100
19145,Madelyne Pryor,Pretty Boy,100
19146,Madelyne Pryor,Skullbuster,100
19147,Madelyne Pryor,Right,220
19148,Madelyne Pryor,Patricia Tilby,680
19149,Madelyne Pryor,Cameron Hodge,304
19150,Madelyne Pryor,Jennifer Ransome,400
19151,Madelyne Pryor,Cormick Grimshaw,200
19152,Madelyne Pryor,Magistrates,300
