,source,target,weight
19153,Madelyne Pryor,David Moreau,300
19154,Madelyne Pryor,Phillip Moreau,300
19155,Madelyne Pryor,Wipeout,200
19156,Madelyne Pryor,N'astirh,740
19157,Madelyne Pryor,Tam Anderson,300
19158,Madelyne Pryor,En Sabah Nur,364
19159,Madelyne Pryor,Prosh,740
19160,Madelyne Pryor,Prosh,740
19161,Madelyne Pryor,Jubilation Lee,20
19162,Madelyne Pryor,Eleanor Murch,0
19163,Madelyne Pryor,Orphan-Maker (Peter),0
19164,Madelyne Pryor,Weird Happenings Organization,100
19165,Madelyne Pryor,Alysande Stuart,100
19166,Madelyne Pryor,Lian Shen,0
19167,Madelyne Pryor,Jacob Reisz,0
19168,Madelyne Pryor,Excalibur,120
19169,Madelyne Pryor,Alistaire Stuart,100
19170,Madelyne Pryor,Muir Island X-Men,20
19171,Madelyne Pryor,David Haller,0
19172,Madelyne Pryor,Guido Carosella,0
19173,Madelyne Pryor,Charlotte Jones,100
19174,Madelyne Pryor,Mutant Liberation Front,0
19175,Madelyne Pryor,Remy LeBeau,0
19176,Madelyne Pryor,Tabitha Smith,280
